first,last,party,state,district
Patrick,Meehan,GOP,PA,7
Gregory,Meeks,Dem,NY,5
John,Mica,GOP,FL,7
Candice,Miller,GOP,MI,10
Jeff,Miller,GOP,FL,1
Gwen,Moore,Dem,WI,4
Mick,Mulvaney,GOP,SC,5
Tim,Murphy,GOP,PA,18
Jerrold,Nadler,Dem,NY,10
Grace,Napolitano,Dem,CA,32
Richard,Neal,Dem,MA,1
Randy,Neugebauer,GOP,TX,19
Kristi,Noem,GOP,SD,
Eleanor,Norton,Dem,DC,
Richard,Nugent,GOP,FL,11
Devin,Nunes,GOP,CA,22
Pete,Olson,GOP,TX,22
Steven,Palazzo,GOP,MS,4
Frank,Pallone,Dem,NJ,6
Bill,Pascrell,Dem,NJ,9
Erik,Paulsen,GOP,MN,3
Stevan,Pearce,GOP,NM,2
Nancy,Pelosi,Dem,CA,12
Ed,Perlmutter,Dem,CO,7
Collin,Peterson,Dem,MN,7
Pedro,Pierluisi,Dem,PR,
Chellie,Pingree,Dem,ME,1
Joseph,Pitts,GOP,PA,16
Ted,Poe,GOP,TX,2
Jared,Polis,Dem,CO,2
Mike,Pompeo,GOP,KS,4
Bill,Posey,GOP,FL,8
David,Price,Dem,NC,4
Tom,Price,GOP,GA,6
Mike,Quigley,Dem,IL,5
Charles,Rangel,Dem,NY,13
Tom,Reed,GOP,NY,23
David,Reichert,GOP,WA,8
James,Renacci,GOP,OH,16
Reid,Ribble,GOP,WI,8
Cedric,Richmond,Dem,LA,2
Edward,Rigell,GOP,VA,2
Martha,Roby,GOP,AL,2
David,Roe,GOP,TN,1
Harold,Rogers,GOP,KY,5
Mike,Rogers,GOP,AL,3
Dana,Rohrabacher,GOP,CA,48
Todd,Rokita,GOP,IN,4
Thomas,Rooney,GOP,FL,17
Ileana,Ros-Lehtinen,GOP,FL,27
Peter,Roskam,GOP,IL,6
Dennis,Ross,GOP,FL,15
Lucille,Roybal-Allard,Dem,CA,40
Edward,Royce,GOP,CA,39
C.,Ruppersberger,Dem,MD,2
Bobby,Rush,Dem,IL,1
Paul,Ryan,GOP,WI,1
Tim,Ryan,Dem,OH,13
Gregorio,Sablan,Ind,MP,
Loretta,Sanchez,Dem,CA,46
John,Sarbanes,Dem,MD,3
Steve,Scalise,GOP,LA,1
Janice,Schakowsky,Dem,IL,9
Adam,Schiff,Dem,CA,28
Kurt,Schrader,Dem,OR,5
David,Schweikert,GOP,AZ,6
Austin,Scott,GOP,GA,8
David,Scott,Dem,GA,13
Robert,Scott,Dem,VA,3
F.,Sensenbrenner,GOP,WI,5
José,Serrano,Dem,NY,15
Pete,Sessions,GOP,TX,32
Terri,Sewell,Dem,AL,7
Brad,Sherman,Dem,CA,30
John,Shimkus,GOP,IL,15
Bill,Shuster,GOP,PA,9
Michael,Simpson,GOP,ID,2
Albio,Sires,Dem,NJ,8
Louise,Slaughter,Dem,NY,25
Adam,Smith,Dem,WA,9
Adrian,Smith,GOP,NE,3
Christopher,Smith,GOP,NJ,4
Lamar,Smith,GOP,TX,21
Jackie,Speier,Dem,CA,14
Steve,Stivers,GOP,OH,15
Marlin,Stutzman,GOP,IN,3
Linda,Sánchez,Dem,CA,38
Bennie,Thompson,Dem,MS,2
Mike,Thompson,Dem,CA,5
Glenn,Thompson,GOP,PA,5
Mac,Thornberry,GOP,TX,13
Patrick,Tiberi,GOP,OH,12
Scott,Tipton,GOP,CO,3
Paul,Tonko,Dem,NY,20
Niki,Tsongas,Dem,MA,3
Michael,Turner,GOP,OH,10
Fred,Upton,GOP,MI,6
Chris,Van Hollen,Dem,MD,8
Nydia,Velázquez,Dem,NY,7
Peter,Visclosky,Dem,IN,1
Tim,Walberg,GOP,MI,7
Greg,Walden,GOP,OR,2
Timothy,Walz,Dem,MN,1
Debbie,Wasserman Schultz,Dem,FL,23
Maxine,Waters,Dem,CA,43
Daniel,Webster,GOP,FL,10
Peter,Welch,Dem,VT,
Lynn,Westmoreland,GOP,GA,3
Joe,Wilson,GOP,SC,2
Frederica,Wilson,Dem,FL,24
Robert,Wittman,GOP,VA,1
Steve,Womack,GOP,AR,3
Rob,Woodall,GOP,GA,7
John,Yarmuth,Dem,KY,3
Kevin,Yoder,GOP,KS,3
Don,Young,GOP,AK,
Todd,Young,GOP,IN,9
Janice,Hahn,Dem,CA,44
Mark,Amodei,GOP,NV,2
Suzanne,Bonamici,Dem,OR,1
Suzan,DelBene,Dem,WA,1
Thomas,Massie,GOP,KY,4
Donald,Payne,Dem,NJ,10
Matt,Salmon,GOP,AZ,5
Bill,Foster,Dem,IL,11
Alan,Grayson,Dem,FL,9
Ann,Kirkpatrick,Dem,AZ,1
Dina,Titus,Dem,NV,1
Kyrsten,Sinema,Dem,AZ,9
Doug,LaMalfa,GOP,CA,1
Jared,Huffman,Dem,CA,2
Ami,Bera,Dem,CA,7
Paul,Cook,GOP,CA,8
Eric,Swalwell,Dem,CA,15
David,Valadao,GOP,CA,21
Julia,Brownley,Dem,CA,26
Tony,Cárdenas,Dem,CA,29
Raul,Ruiz,Dem,CA,36
Mark,Takano,Dem,CA,41
Alan,Lowenthal,Dem,CA,47
Juan,Vargas,Dem,CA,51
Scott,Peters,Dem,CA,52
Elizabeth,Esty,Dem,CT,5
Ted,Yoho,GOP,FL,3
Ron,DeSantis,GOP,FL,6
Patrick,Murphy,Dem,FL,18
Lois,Frankel,Dem,FL,22
Doug,Collins,GOP,GA,9
Tulsi,Gabbard,Dem,HI,2
Tammy,Duckworth,Dem,IL,8
Rodney,Davis,GOP,IL,13
Cheri,Bustos,Dem,IL,17
Jackie,Walorski,GOP,IN,2
Susan,Brooks,GOP,IN,5
Luke,Messer,GOP,IN,6
Garland,Barr,GOP,KY,6
Joseph,Kennedy,Dem,MA,4
John,Delaney,Dem,MD,6
Daniel,Kildee,Dem,MI,5
Richard,Nolan,Dem,MN,8
Ann,Wagner,GOP,MO,2
Richard,Hudson,GOP,NC,8
Robert,Pittenger,GOP,NC,9
Mark,Meadows,GOP,NC,11
George,Holding,GOP,NC,13
Kevin,Cramer,GOP,ND,
Ann,Kuster,Dem,NH,2
Michelle,Lujan Grisham,Dem,NM,1
Grace,Meng,Dem,NY,6
Hakeem,Jeffries,Dem,NY,8
Sean,Maloney,Dem,NY,18
Chris,Collins,GOP,NY,27
Brad,Wenstrup,GOP,OH,2
Joyce,Beatty,Dem,OH,3
David,Joyce,GOP,OH,14
Jim,Bridenstine,GOP,OK,1
Markwayne,Mullin,GOP,OK,2
Scott,Perry,GOP,PA,4
Keith,Rothfus,GOP,PA,12
Matthew,Cartwright,Dem,PA,17
Tom,Rice,GOP,SC,7
Randy,Weber,GOP,TX,14
Beto,O'Rourke,Dem,TX,16
Joaquin,Castro,Dem,TX,20
Roger,Williams,GOP,TX,25
Marc,Veasey,Dem,TX,33
Filemon,Vela,Dem,TX,34
Chris,Stewart,GOP,UT,2
Derek,Kilmer,Dem,WA,6
Denny,Heck,Dem,WA,10
Mark,Pocan,Dem,WI,2
Robin,Kelly,Dem,IL,2
Marshall,Sanford,GOP,SC,1
Jason,Smith,GOP,MO,8
Katherine,Clark,Dem,MA,5
Bradley,Byrne,GOP,AL,1
David,Jolly,GOP,FL,13
Curtis,Clawson,GOP,FL,19
David,Brat,GOP,VA,7
Donald,Norcross,Dem,NJ,1
Alma,Adams,Dem,NC,12
Bob,Dold,GOP,IL,10
Frank,Guinta,GOP,NH,1
Gary,Palmer,GOP,AL,6
French,Hill,GOP,AR,2
Bruce,Westerman,GOP,AR,4
Martha,McSally,GOP,AZ,2
Ruben,Gallego,Dem,AZ,7
Mark,DeSaulnier,Dem,CA,11
Steve,Knight,GOP,CA,25
Pete,Aguilar,Dem,CA,31
Ted,Lieu,Dem,CA,33
Norma,Torres,Dem,CA,35
Mimi,Walters,GOP,CA,45
Ken,Buck,GOP,CO,4
Gwen,Graham,Dem,FL,2
Carlos,Curbelo,GOP,FL,26
Buddy,Carter,GOP,GA,1
Jody,Hice,GOP,GA,10
Barry,Loudermilk,GOP,GA,11
Rick,Allen,GOP,GA,12
Rod,Blum,GOP,IA,1
David,Young,GOP,IA,3
Mike,Bost,GOP,IL,12
Ralph,Abraham,GOP,LA,5
Garret,Graves,GOP,LA,6
Seth,Moulton,Dem,MA,6
Bruce,Poliquin,GOP,ME,2
John,Moolenaar,GOP,MI,4
Mike,Bishop,GOP,MI,8
Dave,Trott,GOP,MI,11
Debbie,Dingell,Dem,MI,12
Brenda,Lawrence,Dem,MI,14
Tom,Emmer,GOP,MN,6
Ryan,Zinke,GOP,MT,
David,Rouzer,GOP,NC,7
Brad,Ashford,Dem,NE,2
Tom,MacArthur,GOP,NJ,3
Bonnie,Watson Coleman,Dem,NJ,12
Cresent,Hardy,GOP,NV,4
Lee,Zeldin,GOP,NY,1
Kathleen,Rice,Dem,NY,4
Elise,Stefanik,GOP,NY,21
John,Katko,GOP,NY,24
Steve,Russell,GOP,OK,5
Ryan,Costello,GOP,PA,6
Brendan,Boyle,Dem,PA,13
John,Ratcliffe,GOP,TX,4
Will,Hurd,GOP,TX,23
Brian,Babin,GOP,TX,36
Mia,Love,GOP,UT,4
Donald,Beyer,Dem,VA,8
Barbara,Comstock,GOP,VA,10
Stacey,Plaskett,Dem,VI,
Dan,Newhouse,GOP,WA,4
Glenn,Grothman,GOP,WI,6
Alex,Mooney,GOP,WV,2
Evan,Jenkins,GOP,WV,3
Aumua,Amata,GOP,AS,
Mark,Walker,GOP,NC,6
Daniel,Donovan,GOP,NY,11
